Tabela 6612 - Valores encadeados a preços de 1995,,,,,,,,,,,,,,,
Variável - Valores encadeados a preços de 1995 (Milhões de Reais),,,,,,,,,,,,,,,
,Trimestre,Setores e subsetores,,,,,,,,,,,,,
,Trimestre,Agropecuária - total,Indústria - total,Indústrias extrativas,Indústrias de transformação,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",Construção,Serviços - total,Comércio,"Transporte, armazenagem e correio",Informação e comunicação,"Atividades financeiras, de seguros e serviços relacionados",Atividades imobiliárias,Outras atividades de serviços,"Administração, saúde e educação públicas e seguridade social"
Brasil,1º trimestre 2003,"14596,25","40504,89","1481,07","23012,35","4363,99","11011,77","118597,11","13728,62","5416,81","6583,39","16017,01","19295,66","25561,41","30729,98"
Brasil,2º trimestre 2003,"14529,4","43545,37","1517,63","27156,65","4195,5","10342,31","120434,56","14417,35","5977,41","6748,72","15390,14","19249,11","25595,7","31656,26"
Brasil,3º trimestre 2003,"12876,2","47493,28","1654,14","30424,95","4299,68","10891,18","124393,93","14820,48","6372,5","6792,42","18264,45","19011,99","26411,09","31774,75"
Brasil,4º trimestre 2003,"9142,03","47287,09","1862,39","29123,04","4410,53","11303,23","127190,82","15536,75","6458,46","7096,82","19198,3","19216,72","26961,34","31857,86"
Brasil,1º trimestre 2004,"14598,08","43492,96","1514,18","26278,48","4374,27","11092,77","122535,25","14823,76","5961,07","6659,06","16243,43","19429,63","25219,7","33050,21"
Brasil,2º trimestre 2004,"14820,67","47425,77","1578,33","29302,07","4588,35","11711,97","127144,54","15773,08","6361,14","6923,92","17612,89","20037,66","26560,2","32607,14"
Brasil,3º trimestre 2004,"13462,55","51687,52","1683,05","32347,75","4607,83","12985,74","130883,63","16613,82","6541,16","7135,89","18119,81","20642,61","27578,81","32799,43"
Brasil,4º trimestre 2004,"9282,97","50915,13","1709,1","31754,08","4735,66","12437,27","134630,69","16716,4","6681,72","7674,41","19536,69","20877,98","28994,29","32742,78"
Brasil,1º trimestre 2005,"15061,81","45320,65","1543,37",27465,"4661,06","11331,94","128091,39","15327,65","6275,65","7164,86","17846,57","20706,3","26813,09","32833,78"
Brasil,2º trimestre 2005,"15173,62","49907,33","1764,04","31094,1","4698,08","11807,65","132517,67","16544,39","6671,37","7449,78","18042,22","20885,39","27966,83","33407,96"
Brasil,3º trimestre 2005,"13193,01","51114,61","1796,61","32017,39","4706,58","12075,93","135513,43","16869,93","6685,21","7523,83",19669,"21143,82","28999,4","33318,57"
Brasil,4º trimestre 2005,"9320,11","51038,36","1822,05","31790,02","4816,24","11999,65",137931,"17174,93","6833,65","7898,67","20109,52","21632,23","29836,96","32998,41"
Brasil,1º trimestre 2006,"15137,45","46819,53","1754,68","28154,2","4784,79","11386,49","133994,37","16204,38","6523,86","7241,75","19706,73","21391,44","27990,05","33995,34"
Brasil,2º trimestre 2006,"15123,12","48980,57","1788,54","30184,37","4824,29","11399,46","137676,44","16895,74","6722,81","7341,26","20364,32","21839,05","28890,38","34597,13"
